System,Mission Number,Mission Text
VoiceOnly_#0,0,"Navigate to page 1, paragraph 1, line 3."
VoiceOnly_#0,1,"Fix \""lare\"" to \""large\"". (page 1, paragraph 1, line 3)"
VoiceOnly_#0,2,"Navigate to page 1, paragraph 2, line 8."
VoiceOnly_#0,3,"Add \""boy\"" after \""little\"". (page 1, paragraph 2, line 8)"
VoiceOnly_#0,4,"Navigate to page 1, paragraph 3, line 13-14."
VoiceOnly_#0,5,"Copy from \""he\"" to \""away\"". (page 1, paragraph 3, line 13-14)"
VoiceOnly_#0,6,"Navigate to page 1, paragraph 4, line 20."
VoiceOnly_#0,7,"Past after \""that\"". (page 1, paragraph 4, line 20)"
VoiceOnly_#0,8,"Navigate to page 2, paragraph 5, line 23."
VoiceOnly_#0,9,"Replace \""always\"" to \""sometimes\"". (page 2, paragraph 5, line 23)"
VoiceOnly_#0,10,"Page 2, paragraph 6, line 31."
VoiceOnly_#0,11,"Fix \""sinle\"" to \""single\"". (page 2, paragraph 6, line 31)"
VoiceOnly_#0,12,"Navigate to page 2, paragraph 7, line 36-37."
VoiceOnly_#0,13,"Delete from \""That\"" to \""pity\"". (page 2, paragraph 7, line 36-37)"
VoiceGaze_#0,0,"Navigate to page 1, paragraph 1, line 2."
VoiceGaze_#0,1,"Replace \""once\"" to \""twice\""."
VoiceGaze_#0,2,"Navigate to page 1, paragraph 2, line 6."
VoiceGaze_#0,3,"Fix \""underear\"" to \""underwear\""."
VoiceGaze_#0,4,"Navigate to page 1, paragraph 3, line 1."
VoiceGaze_#0,5,"Add \""father\"" after \""mother\""."
VoiceGaze_#0,6,"Navigate to page 2, paragraph 5, line 3."
VoiceGaze_#0,7,"Fix \""siple\"" to \""supple\""."
VoiceGaze_#0,8,"Navigate to page 2, paragraph 6, line 2."
VoiceGaze_#0,9,"Copy from \""You\"" to \""is\""."
VoiceGaze_#0,10,"Navigate to page 2, paragraph 7, line 1."
VoiceGaze_#0,11,"Paste after \""another\""."
VoiceGaze_#0,12,"Navigate to page 2, paragraph 9, line 2."
VoiceGaze_#0,13,"Delete from \""he\"" to \""met\""."
VoiceMouse_#0,0,"Navigate to page 1, paragraph 1, line 3-4."
VoiceMouse_#0,1,"Delete from \""The\"" to \""revenge\""."
VoiceMouse_#0,2,"Navigate to page 1, paragraph 2, line 6."
VoiceMouse_#0,3,"Replace \""dry\"" to \""wet\""."
VoiceMouse_#0,4,"Navigate to page 1, paragraph 3, line 1."
VoiceMouse_#0,5,"Fix \""behnd\"" to \""bend\""."
VoiceMouse_#0,6,"Navigate to page 2, paragraph 5, line 3."
VoiceMouse_#0,7,"Add \""princess\"" after \""Cinderella\""."
VoiceMouse_#0,8,"Navigate to page 2, paragraph 6, line 1-2."
VoiceMouse_#0,9,"Copy from \""Opening\"" to \""all\""."
VoiceMouse_#0,10,"Navigate to page 2, paragraph 7, line 1."
VoiceMouse_#0,11,"Paste before \""page\""."
VoiceMouse_#0,12,"Navigate to page 2, paragraph 8, line 2."
VoiceMouse_#0,13,"Fix \""fially\"" to \""finally\""."
MouseAndKeyboard_#0,0,"Navigate to page 1, paragraph 1, line 5."
MouseAndKeyboard_#0,1,"Copy from \""how\"" to \""been\""."
MouseAndKeyboard_#0,2,"Navigate to page 1, paragraph 2, line 1."
MouseAndKeyboard_#0,3,"Paste after \""Family\""."
MouseAndKeyboard_#0,4,"Navigate to page 1, paragraph 2, line 1."
MouseAndKeyboard_#0,5,"Fix \""slpt\"" to \""slept\""."
MouseAndKeyboard_#0,6,"Navigate to page 1, paragraph 3, line 3."
MouseAndKeyboard_#0,7,"Replace \""book\"" to \""pen\""."
MouseAndKeyboard_#0,8,"Navigate to page 2, paragraph 5, line 5."
MouseAndKeyboard_#0,9,"Fix \""woan\"" to \""won\""."
MouseAndKeyboard_#0,10,"Navigate to page 2, paragraph 7, line 4-5."
MouseAndKeyboard_#0,11,"Delete from \""I\"" to \""profile\""."
MouseAndKeyboard_#0,12,"Navigate to page 2, paragraph 9, line 3."
MouseAndKeyboard_#0,13,"Add \""smile\"" after \""love\""."
VoiceOnly_#1,0,"Navigate to page 1, paragraph 1, line 3."
VoiceOnly_#1,1,"Fix \""lare\"" to \""large\"". (page 1, paragraph 1, line 3)"
VoiceOnly_#1,2,"Navigate to page 1, paragraph 2, line 8."
VoiceOnly_#1,3,"Add \""boy\"" after \""little\"". (page 1, paragraph 2, line 8)"
VoiceOnly_#1,4,"Navigate to page 1, paragraph 3, line 13-14."
VoiceOnly_#1,5,"Copy from \""for\"" to \""Reed\"". (page 1, paragraph 3, line 13-14)"
VoiceOnly_#1,6,"Navigate to page 1, paragraph 4, line 21."
VoiceOnly_#1,7,"Past after \""lady\"". (page 1, paragraph 4, line 21)"
VoiceOnly_#1,8,"Navigate to page 2, paragraph 5, line 23."
VoiceOnly_#1,9,"Replace \""always\"" to \""sometimes\"". (page 2, paragraph 5, line 23)"
VoiceOnly_#1,10,"Page 2, paragraph 6, line 30."
VoiceOnly_#1,11,"Fix \""fll\"" to \""fell\"". (page 2, paragraph 6, line 30)"
VoiceOnly_#1,12,"Navigate to page 2, paragraph 7, line 36-37."
VoiceOnly_#1,13,"Delete from \""That\"" to \""pity\"". (page 2, paragraph 7, line 36-37)"
VoiceGaze_#1,0,"Navigate to page 1, paragraph 1, line 4."
VoiceGaze_#1,1,"Fix \""grwing\"" to \""growing\""."
VoiceGaze_#1,2,"Navigate to page 1, paragraph 2, line 1."
VoiceGaze_#1,3,"Delete from \""She\"" to \""day\""."
VoiceGaze_#1,4,"Navigate to page 1, paragraph 3, line 3-4."
VoiceGaze_#1,5,"Copy from \""And\"" to \""like\""."
VoiceGaze_#1,6,"Navigate to page 1, paragraph 3, line 3-4."
VoiceGaze_#1,7,"Paste after \""I\""."
VoiceGaze_#1,8,"Navigate to page 2, paragraph 5, line 3."
VoiceGaze_#1,9,"Add \""plant\"" after \""flower\""."
VoiceGaze_#1,10,"Navigate to page 2, paragraph 6, line 2."
VoiceGaze_#1,11,"Replace \""word\"" to \""letter\""."
VoiceGaze_#1,12,"Navigate to page 2, paragraph 7, line 3."
VoiceGaze_#1,13,"Fix \""detal\"" to \""desal\""."
VoiceMouse_#1,0,"Navigate to page 1, paragraph 1, line 1."
VoiceMouse_#1,1,"Copy from \""bundle\"" to \""feet\""."
VoiceMouse_#1,2,"Navigate to page 1, paragraph 2, line 1."
VoiceMouse_#1,3,"Paste after \""too\""."
VoiceMouse_#1,4,"Navigate to page 1, paragraph 3, line 2."
VoiceMouse_#1,5,"Fix \""reain\"" to \""remain\""."
VoiceMouse_#1,6,"Navigate to page 1, paragraph 4, line 4."
VoiceMouse_#1,7,"Replace \""teacher\"" to \""student\""."
VoiceMouse_#1,8,"Navigate to page 2, paragraph 5, line 3."
VoiceMouse_#1,9,"Fix \""hopig\"" to \""hoping\""."
VoiceMouse_#1,10,"Navigate to page 2, paragraph 6, line 2."
VoiceMouse_#1,11,"Add \""banana\"" after \""dream\""."
VoiceMouse_#1,12,"Navigate to page 2, paragraph 7, line 1-10."
VoiceMouse_#1,13,"Delete from \""Dorita\"" to \""sky\""."
MouseAndKeyboard_#1,0,"Navigate to page 1, paragraph 1, line 4."
MouseAndKeyboard_#1,1,"Fix \""undewater\"" to \""underwater\""."
MouseAndKeyboard_#1,2,"Navigate to page 1, paragraph 2, line 2."
MouseAndKeyboard_#1,3,"Add \""else\"" after \""something\""."
MouseAndKeyboard_#1,4,"Navigate to page 1, paragraph 3, line 1-2."
MouseAndKeyboard_#1,5,"Delete from \""Perhaps\"" to \""pull\""."
MouseAndKeyboard_#1,6,"Navigate to page 2, paragraph 4, line 4."
MouseAndKeyboard_#1,7,"Fix \""smled\"" to \""smiled\""."
MouseAndKeyboard_#1,8,"Navigate to page 2, paragraph 5, line 10."
MouseAndKeyboard_#1,9,"Copy from \""must\"" to \""bed\""."
MouseAndKeyboard_#1,10,"Navigate to page 2, paragraph 6, line 1."
MouseAndKeyboard_#1,11,"Paste before \""Slowly\""."
MouseAndKeyboard_#1,12,"Navigate to page 2, paragraph 6, line 1"
MouseAndKeyboard_#1,13,"Replace \""began\"" to \""start\""."
VoiceOnly_#2,0,"Navigate to page 1, paragraph 1, line 3."
VoiceOnly_#2,1,"Fix \""mopd\"" to \""mood\""."
VoiceOnly_#2,2,"Navigate to page 1, paragraph 2, line 3."
VoiceOnly_#2,3,"Add \""novel\"" after \""short\""."
VoiceOnly_#2,4,"Navigate to page 1, paragraph 3, line 3-5."
VoiceOnly_#2,5,"Copy from \""According\"" to \""does\""."
VoiceOnly_#2,6,"Navigate to page 1, paragraph 5, line 1."
VoiceOnly_#2,7,"Past after \""deep\""."
VoiceOnly_#2,8,"Navigate to page 1, paragraph 8, line 1."
VoiceOnly_#2,9,"Fix \""corunt\"" to \""count\""."
VoiceOnly_#2,10,"Navigate to page 2, paragraph 14, line 1-2."
VoiceOnly_#2,11,"Delete from \""master\"" to \""story\""."
VoiceOnly_#2,12,"Navigate to page 2, paragraph 14, line 1-2."
VoiceOnly_#2,13,"Delete from \""master\"" to \""story\""."
VoiceGaze_#2,0,"Navigate to page 1, paragraph 1, line 3"
VoiceGaze_#2,1,"Fix \""imossibe\"" to \""impossible\""."
VoiceGaze_#2,2,"Navigate to page 1, paragraph 2, line 3"
VoiceGaze_#2,3,"Fix \""cetre\"" to \""center\""."
VoiceGaze_#2,4,"Navigate to page 1, paragraph 3, line 2"
VoiceGaze_#2,5,"Copy from \""angelic\"" to \""golden\""."
VoiceGaze_#2,6,"Navigate to page 1, paragraph 4, line 1"
VoiceGaze_#2,7,"Paste after \""wake\""."
VoiceGaze_#2,8,"Navigate to page 2, paragraph 5, line 3"
VoiceGaze_#2,9,"Add \""care\"" after \""skin\""."
VoiceGaze_#2,10,"Navigate to page 2, paragraph 6, line 3-4"
VoiceGaze_#2,11,"Delete from \""Someone\"" to \""leak\""."
VoiceGaze_#2,12,"Navigate to page 2, paragraph 7, line 2"
VoiceGaze_#2,13,"Replace \""little\"" to \""big\""."
VoiceMouse_#2,0,"Navigate to page 1, paragraph 1, line 7"
VoiceMouse_#2,1,"Add \""night\"" after \""light\""."
VoiceMouse_#2,2,"Navigate to page 1, paragraph 2, line 3-4"
VoiceMouse_#2,3,"Delete from \""Water\"" to \""down\""."
VoiceMouse_#2,4,"Navigate to page 1, paragraph 3, line 3"
VoiceMouse_#2,5,"Fix \""granmother\"" to \""grandmother\""."
VoiceMouse_#2,6,"Navigate to page 2, paragraph 4, line 4"
VoiceMouse_#2,7,"Fix \""roks\"" to \""rows\""."
VoiceMouse_#2,8,"Navigate to page 2, paragraph 5, line 4"
VoiceMouse_#2,9,"Replace \""voice\"" to \""sound\""."
VoiceMouse_#2,10,"Navigate to page 2, paragraph 6, line 1-3"
VoiceMouse_#2,11,"Copy from \""Water\"" to \""side\""."
VoiceMouse_#2,12,"Navigate to page 2, paragraph 7, line 1"
VoiceMouse_#2,13,"Paste before \""light\""."
MouseAndKeyboard_#2,0,"Navigate to page 1, paragraph 1, line 3"
MouseAndKeyboard_#2,1,"Fix \""bck\"" to \""back\""."
MouseAndKeyboard_#2,2,"Navigate to page 1, paragraph 2, line 4"
MouseAndKeyboard_#2,3,"Fix \""surace\"" to \""subrace\""."
MouseAndKeyboard_#2,4,"Navigate to page 1, paragraph 3, line 3"
MouseAndKeyboard_#2,5,"Copy from \""Magic\"" to \""that\""."
MouseAndKeyboard_#2,6,"Navigate to page 1, paragraph 5, line 1"
MouseAndKeyboard_#2,7,"Paste before \""need\""."
MouseAndKeyboard_#2,8,"Navigate to page 2, paragraph 6, line 1"
MouseAndKeyboard_#2,9,"Replace \""Last\"" to \""First\""."
MouseAndKeyboard_#2,10,"Navigate to page 2, paragraph 7, line 3-4"
MouseAndKeyboard_#2,11,"Delete from \""But\"" to \""word\""."
MouseAndKeyboard_#2,12,"Navigate to page 2, paragraph 8, line 5"
MouseAndKeyboard_#2,13,"Add \""workout\"" after \""train\""."
VoiceOnly_#3,0,"Navigate to page 1, paragraph 1, line 2."
VoiceOnly_#3,1,"Replace \""once\"" to \""twice\"". (page 1, paragraph 1, line 2)"
VoiceOnly_#3,2,"Navigate to page 1, paragraph 2, line 12."
VoiceOnly_#3,3,"Add \""street\"" after \""Oxford\"". ( page 1, paragraph 2, line 12)"
VoiceOnly_#3,4,"Navigate to page 1, paragraph 3, line 22."
VoiceOnly_#3,5,"Fix \""cann't\"" to \""can't\"". (page 1, paragraph 3, line 22)"
VoiceOnly_#3,6,"Navigate to page 1, paragraph 4, line 30."
VoiceOnly_#3,7,"Copy from \""we\"" to \""shop\"". (page 1, paragraph 4, line 30)"
VoiceOnly_#3,8,"Navigate to page 2, paragraph 5, line 35."
VoiceOnly_#3,9,"Past after \""so\"". (page 2, paragraph 5, line 35)"
VoiceOnly_#3,10,"Navigate to page 2, paragraph 6, line 40."
VoiceOnly_#3,11,"Fix \""haat \"" to \""heat\"". (page 2, paragraph 6, line 40)"
VoiceOnly_#3,12,"Navigate to page 2, paragraph 7, line 44-45."
VoiceOnly_#3,13,"Delete from \""while\"" to \""in\"". (page 2, paragraph 7, line 44-45)"
VoiceGaze_#3,0,"Navigate to page 1, paragraph 1, line 3"
VoiceGaze_#3,1,"Fix \""imossibe\"" to \""impossible\""."
VoiceGaze_#3,2,"Navigate to page 1, paragraph 2, line 3"
VoiceGaze_#3,3,"Fix \""cetre\"" to \""center\""."
VoiceGaze_#3,4,"Navigate to page 1, paragraph 3, line 2"
VoiceGaze_#3,5,"Copy from \""angelic\"" to \""golden\""."
VoiceGaze_#3,6,"Navigate to page 1, paragraph 4, line 1"
VoiceGaze_#3,7,"Paste after \""wake\""."
VoiceGaze_#3,8,"Navigate to page 2, paragraph 5, line 3"
VoiceGaze_#3,9,"Add \""care\"" after \""skin\""."
VoiceGaze_#3,10,"Navigate to page 2, paragraph 6, line 3-4"
VoiceGaze_#3,11,"Delete from \""Someone\"" to \""leak\""."
VoiceGaze_#3,12,"Navigate to page 2, paragraph 7, line 2"
VoiceGaze_#3,13,"Replace \""little\"" to \""big\""."
VoiceMouse_#3,0,"Navigate to page 1, paragraph 1, line 7"
VoiceMouse_#3,1,"Add \""night\"" after \""light\""."
VoiceMouse_#3,2,"Navigate to page 1, paragraph 2, line 3-4"
VoiceMouse_#3,3,"Delete from \""Water\"" to \""down\""."
VoiceMouse_#3,4,"Navigate to page 1, paragraph 3, line 3"
VoiceMouse_#3,5,"Fix \""granmother\"" to \""grandmother\""."
VoiceMouse_#3,6,"Navigate to page 2, paragraph 4, line 4"
VoiceMouse_#3,7,"Fix \""roks\"" to \""rows\""."
VoiceMouse_#3,8,"Navigate to page 2, paragraph 5, line 4"
VoiceMouse_#3,9,"Replace \""voice\"" to \""sound\""."
VoiceMouse_#3,10,"Navigate to page 2, paragraph 6, line 1-3"
VoiceMouse_#3,11,"Copy from \""Water\"" to \""side\""."
VoiceMouse_#3,12,"Navigate to page 2, paragraph 7, line 1"
VoiceMouse_#3,13,"Paste before \""light\""."
MouseAndKeyboard_#3,0,"Navigate to page 1, paragraph 1, line 3"
MouseAndKeyboard_#3,1,"Fix \""bck\"" to \""back\""."
MouseAndKeyboard_#3,2,"Navigate to page 1, paragraph 2, line 4"
MouseAndKeyboard_#3,3,"Fix \""surace\"" to \""subrace\""."
MouseAndKeyboard_#3,4,"Navigate to page 1, paragraph 3, line 3"
MouseAndKeyboard_#3,5,"Copy from \""Magic\"" to \""that\""."
MouseAndKeyboard_#3,6,"Navigate to page 1, paragraph 5, line 1"
MouseAndKeyboard_#3,7,"Paste before \""need\""."
MouseAndKeyboard_#3,8,"Navigate to page 2, paragraph 6, line 1"
MouseAndKeyboard_#3,9,"Replace \""Last\"" to \""First\""."
MouseAndKeyboard_#3,10,"Navigate to page 2, paragraph 7, line 3-4"
MouseAndKeyboard_#3,11,"Delete from \""But\"" to \""word\""."
MouseAndKeyboard_#3,12,"Navigate to page 2, paragraph 8, line 5"
MouseAndKeyboard_#3,13,"Add \""workout\"" after \""train\""."
